IndividualID,Year,Month,Day,Locality,Latitude,Longitude,FatScore,MuscleScore,"Age (Adult = SY, AHY and ASY; Juvenile = HY)",How_Aged,Sex,HowSexed,BodyMolt,FeatherWear,WingMolt (Y/N),WingFeathersInMolt,TailMolt (Y/N),TailFeathersInMolt,subspecies,HowSubspeciesIDd,PhotoName,N_P1_sampleID,N_P1,N_S6_sampleID,N_S6,N_R1_sampleID,N_R1,N_R3_sampleID,N_R3,N_R6_sampleID,N_R6
2661_39624,2014,July,21,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',0,2,Adult,Plumage,Male,Primary notch,heavy,medium,Y,"R: P7, S2, T3; L: P7, S2, T1",Y,"R6,2,1 (symmetrical)",monachus,Primary notch lacking on P8,2661-39624 (WR),p1-2661-39624,8.05,S6-2661-39624,8.86,,,R3-2661-39624,8.63,,
2661-39657,2014,July,22,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',1,2,Adult,Plumage,Male,Primary notch,light,light,Y,"R: P10, 9, S5; L: P10, 9, 8, S5",Y,"R6, 5 (SYMMETRICAL)",monachus,Primary notch lacking on P8,2661-39657 (WR),p1-2661-39657,7.97,S6-2661-39657,10.02,,,R3-2661-39657,10.06,,
2661-39659,2014,July,22,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',2,2,Juvenile,Brown plumage,Unknown,,medium,light,N,,N,,monachus,back coloration,2661-39659 (WR),p1-2661-39659,7.7,S6-2661-39659,7.72,,,R3-2661-39659,7.57,,
2661-39680,2014,July,26,Guyana,N 02 degrees 49.407',W 059 degrees 27.336',2,2,Adult,Plumage,Male,Primary notch,medium,medium,Y,"R: P7, 6, S3; L: P7, S3",Y,"R: R6,3,2; L: R6,5,2,1",monachus,back coloration,2661-39680 (WR),p1-2661-39680,9.07,S6-2661-39680,8.83,R1-2661-39680,8.85,R3-2661-39680,8.57,,
2661-39709,2014,July,30,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',1,1,Adult,Plumage,Male,Primary notch,light,indication,Y,"R: P10, 9, 8, S5, 6; L: P 10, 9, 8, S4, 5, 6, T1",Y,"R: R 6,5; L: R 5,4,3",monachus,Primary notch lacking on P8; light back coloration,2661-39709 (WR),p1-2661-39709,8.59,S6-2661-39709,9.73,,,,,,
2661-39710,2014,July,30,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',2,3,Adult,Plumage,Female,No primary notches,medium,light,Y,"R: P8, S3; L: P8, S2",Y,"R: R6,6,2,1; L:6,4,1",monachus,back coloration,2661-39710 (WR),,,,,,,R3-2661-39710,9.01,,
2661-39627,2014,July,21,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',2,3,Adult,Plumage,Female,No primary notches,none,none,N,,N,,savana,back coloration,2661-39627 (WR),p1-2661-39627,9.18,S6-2661-39627,8.34,,,R3-2661-39627,8.29,,
2661-39628,2014,July,21,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',1,1,Adult,Plumage,Female,No primary notches,heavy,none,N,,Y,R6 (symmetrical),savana,back coloration,2661-39628 (WR),p1-2661-39628,9.86,S6-2661-39628,9.16,,,R3-2661-39628,9.56,,
2661-39629,2014,July,21,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',3,2,Adult,Plumage,Male,Primary notch,none,none,N,,N,,savana,Primary notch,2661-39629 (WR),p1-2661-39629,10.2,S6-2661-39629,7.27,,,R3-2661-39629,9.87,,
2661-39630,2014,July,21,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',2,2,Adult,Plumage,Male,Primary notch,indication,none,N,,Y,R6 (symmetrical),savana,Primary notch,2661-39630 (WR),p1-2661-39630,9.26,S6-2661-39630,8.06,,,R3-2661-39630,7.75,,
2661-39635,2014,July,21,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',1,1,Adult,Plumage,Male,Primary notch,light,none,Y,"R: P10, L: P10, S5",Y,R6 (symmetrical),savana,Primary notch,2661-39635 (WR),p1-2661-39635,12.35,S6-2661-39635,10.69,,,R3-2661-39635,11.06,,
2661-39639,2014,July,21,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',1,1,Adult,Plumage,Male,Primary notch,none,light,Y,"R: P10, S5,; L: P10, S4,5",Y,"R6,5 (symmetrical)",savana,Primary notch,2661-39639 (WR),p1-2661-39639,9.72,S6-2661-39639,7.79,,,R3-2661-39639,8.38,R6-2661-39639,7.8
2661-39645,2014,July,22,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',3,2,Adult,Plumage,Male,Primary notch,medium,indication,N,,Y,R6 (symmetrical),savana,Primary notch,2661-39645 (WR),p1-2661-39645,8.78,S6-2661-39645,9.15,,,R3-2661-39645,8.97,R6-2661-39645,11.37
2661-39646,2014,July,22,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',1,2,Adult,Plumage,Male,Primary notch,none,none,Y,"P9, 8, 7, 6, 5, 4, 3 (SYMMETRICAL)",N,,savana,Primary notch,2661-39646 (WR),p1-2661-39646,10.96,S6-2661-39646,10.51,,,R3-2661-39646,9.85,,
2661-39648,2014,July,22,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',1,2,Adult,Plumage,Female,No primary notches,indication,light,Y,L: P10,Y,L: R6,savana,back coloration,2661-39648 (WR),p1-2661-39648,9.69,S6-2661-39648,7.47,,,R3-2661-39648,7.18,R6-2661-39648,8.38
2661-39653,2014,July,22,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',1,3,Adult,Plumage,Male,Primary notch,light,none,Y,"R: P 10, P9, S5; L: P10, P9, S5",Y,"R: R6, R5; L: R5",savana,Primary notch,2661-39653 (WR),p1-2661-39653,9.27,S6-2661-39653,8.46,,,R3-2661-39653,9.28,,
2661-39658,2014,July,22,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',2,2,Adult,Plumage,Female,No primary notches,light,light,N,,N,,savana,back coloration,2661-39658 (WR),p1-2661-39658,10.64,S6-2661-39658,8.52,,,R3-2661-39658,8.31,,
2661-39663,2014,July,22,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',2,3,Adult,Plumage,Female,No primary notches,indication,none,N,,Y,R6 (symmetrical),savana,back coloration,2661-39663 (WR),p1-2661-39663,9.84,S6-2661-39663,9.61,,,R3-2661-39663,8.57,,
2661-39664,2014,July,22,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',2,1,Adult,Plumage,Male,Primary notch,medium,light,Y,"P10, 9, S5, S6; L: P10, P9, S5, S6",Y,"R6, 5 (SYMMETRICAL)",savana,Primary notch,2661-39664 (WR),p1-2661-39664,9.06,,,,,R3-2661-39664,10.25,R6-2661-39664,9.13
2661-39667,2014,July,22,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',1,1,Juvenile,Brown plumage,Male,Primary notch,medium,light,Y,"P10, S5 (SYMMETRICAL)",Y,"R: R6, 5, 3, 2; L: R6, 5",savana,Primary notch,2661-39667 (WR),p1-2661-39667,8.86,S6-2661-39667,9.64,,,R3-2661-39667,9.15,,
2661-39670,2014,July,26,Guyana,N 02 degrees 49.407',W 059 degrees 27.336',3,3,Adult,Plumage,Female,No primary notches,none,light,N,,N,,savana,back coloration,2661-39670 (WR),p1-2661-39670,10.98,S6-2661-39670,9.12,,,R3-2661-39670,9.62,,
2661-39674,2014,July,26,Guyana,N 02 degrees 49.407',W 059 degrees 27.336',1,2,Adult,Plumage,Male,Primary notch,none,medium,N,,N,,savana,Primary notch,2661-39674 (WR),p1-2661-39674,12.15,S6-2661-39674,8.31,,,R3-2661-39674,9.4,R6-2661-39674,9.5
2661-39675,2014,July,26,Guyana,N 02 degrees 49.407',W 059 degrees 27.336',1,1,Juvenile,Brown plumage,Unknown,,light,light,N,,N,,savana,back coloration,2661-39675 (WR),p1-2661-39675,9.23,S6-2661-39675,9.12,,,R3-2661-39675,8.73,,
2661-39694,2014,July,30,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',1,2,Adult,Plumage,Female,No primary notches,light,indication,N,,N,,savana,back coloration,2661-39694 (WR),p1-2661-39694,12.79,S6-2661-39694,9.13,,,R3-2661-39694,8.92,,
2661-39702,2014,July,30,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',1,1,Adult,Plumage,Female,No primary notches,light,none,N,,N,,savana,back coloration,2661-39702 (WR),p1-2661-39702,9.33,S6-2661-39702,7.54,,,R3-2661-39702,7.52,,
2661-39711,2014,July,30,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',3,3,Adult,Plumage,Female,No primary notches,indication,none,Y,R: P 10; L: P 10,Y,R6 (SYMMETRICAL),savana,back coloration,2661-39711 (WR),p1-2661-39711,8.22,S6-2661-39711,9.33,,,R3-2661-39711,8.66,,
2661-39717,2014,July,30,Guyana,N 02 degrees 48.964',W 059 degrees 27.677',2,1,Adult,Plumage,Male,Primary notch,medium,medium,Y,"R: P6,S1,T2; L: P6, 5, S1, T2",N,,savana,Primary notch; back coloration,2661-39717 (WR),p1-2661-39717,8.13,S6-2661-39717,7.62,,,R3-2661-39717,9.92,R6-2661-39717,10.34